twitter_id,balance
586559221,20.00
306420012,2.72
2330924354,10.00
496082117,2.72
27557141,8.44
1392119830107488261,5.44
1310763212,5.00
1265340038352646144,100.98
14984174,0.00
161427827,5.00
1321982248401457154,10.00
8360172,10.00
1060810796,2.02
520726212,4.32
1138834218417418241,4.32
1433851149292032002,2.72
1455123549165809665,7.04
405591417,4.32
29472803,2.72
944686196331966464,2.72
900794431590338562,2.72
1365776766569041920,2.72
1328895126257676297,4.32
148419767,4.32
1486443913,5.00
806058107298320384,10.00
221265116,5.56
16620786,2.72
1381450342857023491,0.00
1426150417,4.32
190634593,2.72
354896262,14.32
249817337,4.32
15600046,5.56
1470928421790355460,10.88
380673614,4.32
19127843,4.32
320724863,4.32
1370128895761133574,0.00
50003615,4.32
242849452,10.10
1082113063640330240,11.33
52285212,4.32
7900362,3.32
19359450,4.32
1254780350,207.04
51157286,2.72
30515346,2.72
776646672583565313,64.73
1281052898340663296,4.32
1277712990268080128,7.78
1423360975,5.00
16676973,4.32
951835758649753601,4.32
990225493969526786,7.04
719726424001810432,4.32
914344969938366464,2.72
1231590550429675520,1.23
24222556,1.34
1466712173498048514,0.78
250980843,1.70
350493932,1.23
1451120918500200449,1.20
182831748,1.30
1296098960986312705,0.01
1405253263444807680,1.23
900741,1.34
541486647,1.20
198951848,2.00
1427116413521563652,1.23
1511333035,5.23
1443475196070043648,1.23
4860651614,2.72
304568026,1.23
1427621293088706560,4.32
1273652217032011776,4.32
94457225,20.64
777980513839644673,9.32
932155964538609664,4.32
1390412187634597889,4.32
311183499,4.32
1417508655201652743,0.00
1461086468466638853,4.32
887851445982068737,7.04
1394122060528500736,10.16
109927809,10.98
4878684448,4.32
479415066,8.64
389906824,12.50
1176521088534102016,4.32
256170428,2.72
1407716845755506693,2.72
805176,0.00
1476607167830511621,4.32
4350200474,4.32
1478867626180837376,4.32
242685047,4.32
283532922,4.32
1434529945628430347,4.32
6939392,4.32
298839580,2.72
957055627993391104,7.77
3833416227,2.72
5691102,4.32
3230944351,4.32
1442955685159972864,4.32
15008168,7.78
26530146,7.78
2811226439,4.32
220776581,4.32
25598575,3.33
19748227,2.72
1379476164176121859,2.72
2299287814,4.32
1361354632308662275,1.00
255348260,4.32
1391808412120326149,1.23
199108215,17.32
59869533,4.32
1273603221802663937,2.72
14766188,2.72
398877842,4.32
14344531,2.00
1246309685722054656,10.00
375437722,2.72
40972974,12.65
1099111121242546176,12.02
1393114080043540484,4.32
53639673,4.32
1372704384543428612,7.32
898990607707852800,10.00
14887999,1.70
4222757463,6.66
2504491185,2.72
74020343,25.44
119831783,19.32
21633141,2.00
284278132,2.72
1445450501353472005,1.00
21385090,5.00
2934014166,4.00
1398332494760624137,1.00
1333565264160452629,20.32
314288777,4.32
20643500,4.32
4859470042,4.32
14935367,2.72
1444885416138608644,2.81
760686273686364160,4.32
1250499522486169600,4.32
946560930636169216,4.32
276871517,1.23
17880018,3.33
1009656572585304065,1.23
180212381,1.25
360165327,4.44
40984823,3.34
2400179738,4.32
397571608,154.44
204947960,3.00
109500910,4.32
64682383,4.32
18104139,4.32
755477195355742209,1.00
1437371470435471360,3.00
1477171105680936964,4.08
1455971458186874887,9.00
72763,2.72
1465696675847045123,4.32
8917382,3.00
4919508551,28.00
1423375346636836868,4.32
23506379,17.72
37518869,4.32
1362046169401225221,18.00
39931406,267.71
24838521,5.00
1100145393277427712,7.04
4821441910,4.32
814964403284115457,10.00
1373577853703389187,57.72
1480729933710348301,2.63
2314227612,1.62
176288383,2.72
1355263598042509315,7.00
226576706,202.72
1393040812284461057,22.72
1470890142613311496,22.72
927264499681447937,12.72
3512609783,12.72
879763594078027777,22.72
73943577,22.72
147972709,11.00
1458474498806669313,4.32
927984265706344448,4.32
1470022866607517698,2.00
1487808318240350218,3.00
473002094,3.00
8705962,18.16
247093207,4.32
1436972150703935494,1.00
856753502,12.72
1400139779480731651,10.00
1442423792978960398,2.22
1449437133190492160,4.32
1119633257924972544,2.00
1469055493889048581,4.00
1446324417693429760,3.00
1490377282879467522,2.00
1461269666421039104,2.00
924959201553715200,4.00
66390523,11.72
